VSG,pct,day,parasites,mouse,time
parasitemia,NA,6,2000000,m1,early
parasitemia,NA,7,34000000,m1,early
parasitemia,NA,8,20000000,m1,early
parasitemia,NA,10,100000,m1,early
parasitemia,NA,12,2000000,m1,early
parasitemia,NA,14,18000000,m1,early
parasitemia,NA,16,18000000,m1,early
parasitemia,NA,18,100000,m1,early
parasitemia,NA,20,8000000,m1,early
parasitemia,NA,21,4000000,m1,early
parasitemia,NA,22,6600000,m1,early
parasitemia,NA,24,15000000,m1,early
parasitemia,NA,26,100000,m1,early
parasitemia,NA,28,22000000,m1,early
parasitemia,NA,30,22000000,m1,early
parasitemia,NA,6,2000000,m2,early
parasitemia,NA,7,76000000,m2,early
parasitemia,NA,8,100000000,m2,early
parasitemia,NA,10,14000000,m2,early
parasitemia,NA,12,100000,m2,early
parasitemia,NA,14,8000000,m2,early
parasitemia,NA,16,24000000,m2,early
parasitemia,NA,18,6000000,m2,early
parasitemia,NA,20,16000000,m2,early
parasitemia,NA,21,12000000,m2,early
parasitemia,NA,22,1600000,m2,early
parasitemia,NA,24,1000000,m2,early
parasitemia,NA,26,100000,m2,early
parasitemia,NA,28,1300000,m2,early
parasitemia,NA,30,100000,m2,early
parasitemia,NA,6,100000,m3,early
parasitemia,NA,7,6000000,m3,early
parasitemia,NA,8,38000000,m3,early
parasitemia,NA,10,100000,m3,early
parasitemia,NA,12,100000,m3,early
parasitemia,NA,14,66000000,m3,early
parasitemia,NA,16,38000000,m3,early
parasitemia,NA,18,100000,m3,early
parasitemia,NA,20,100000,m3,early
parasitemia,NA,21,100000,m3,early
parasitemia,NA,22,4000000,m3,early
parasitemia,NA,24,150000000,m3,early
parasitemia,NA,26,26000000,m3,early
parasitemia,NA,28,44000000,m3,early
parasitemia,NA,30,50000000,m3,early
parasitemia,NA,96,10000000,m3,late
parasitemia,NA,99,12000000,m3,late
parasitemia,NA,102,11000000,m3,late
parasitemia,NA,105,1250000000,m3,late
parasitemia,NA,6,100000,m4,early
parasitemia,NA,7,6000000,m4,early
parasitemia,NA,8,96000000,m4,early
parasitemia,NA,10,16000000,m4,early
parasitemia,NA,12,100000,m4,early
parasitemia,NA,14,2000000,m4,early
parasitemia,NA,16,40000000,m4,early
parasitemia,NA,18,100000,m4,early
parasitemia,NA,20,100000,m4,early
parasitemia,NA,21,8000000,m4,early
parasitemia,NA,22,10000000,m4,early
parasitemia,NA,24,36000000,m4,early
parasitemia,NA,26,100000,m4,early
parasitemia,NA,28,10000000,m4,early
parasitemia,NA,30,10000000,m4,early
